FileName,ArgumentsPerOperation,AveragePathLength,BiggestRootCoverage,DataWeight,DistinctMessageRatio,LackOfMessageLevelCohesion,LongestPath,NumberOfRootPaths,ServiceInterfaceDataCohesion,WeightedServiceInterfaceCount,ApiFormat
amazonaws.com-mediastore-data-2017-09-01-swagger.yaml.json,9.6,1,1,54,0.3333,0.628,1,1,1,5,openapi
amazonaws.com-mediatailor-2018-04-23-swagger.yaml.json,8.4286,1.6,0.4286,95,0.5882,0.6504,2,3,0.6667,7,openapi
amazonaws.com-meteringmarketplace-2016-01-14-swagger.yaml.json,9,1,0.25,47,0.2571,0.6701,1,4,1,4,openapi
amazonaws.com-mobile-2017-07-01-swagger.yaml.json,9,1.4286,0.3333,171,0.1944,0.5362,2,5,1,9,openapi
amazonaws.com-mobileanalytics-2014-06-05-swagger.yaml.json,10,2,1,10,0.6667,0,2,1,0,1,openapi
amazonaws.com-monitoring-2010-08-01-swagger.yaml.json,11.6087,1,0.0435,606,0.2895,0.6804,1,23,0.8406,46,openapi
amazonaws.com-mq-2017-11-27-swagger.yaml.json,9,3.2308,1,307,0.2556,0.6761,5,1,1,22,openapi
amazonaws.com-mturk-requester-2017-01-17-swagger.yaml.json,9.5128,1,0.0256,784,0.3333,0.4983,1,39,1,39,openapi
amazonaws.com-neptune-2014-10-31-swagger.yaml.json,12.3158,1,0.0175,2373,0.2055,0.6852,1,57,0.9006,114,openapi
amazonaws.com-opsworks-2013-02-18-swagger.yaml.json,9,1,0.0135,917,0.3299,0.7043,1,74,0.9732,74,openapi
amazonaws.com-opsworkscm-2016-11-01-swagger.yaml.json,9,1,0.0625,286,0.3077,0.6159,1,16,0.9375,16,openapi
amazonaws.com-organizations-2016-11-28-swagger.yaml.json,9.5217,1,0.0217,616,0.1101,0.6175,1,46,1,46,openapi
amazonaws.com-personalize-2018-05-22-swagger.yaml.json,9.5,1,0.0278,498,0.3214,0.639,1,36,1,36,openapi
amazonaws.com-personalize-events-2018-03-22-swagger.yaml.json,8,1,1,10,0.6667,0,1,1,0,1,openapi
amazonaws.com-personalize-runtime-2018-05-22-swagger.yaml.json,8,1,0.5,20,0.625,0.625,1,2,1,2,openapi
amazonaws.com-pi-2018-02-27-swagger.yaml.json,9,1,0.5,47,0.5,0.4239,1,2,1,2,openapi
amazonaws.com-pinpoint-2016-12-01-swagger.yaml.json,9,4.9524,1,1411,0.1287,0.6179,8,1,0.9625,79,openapi
amazonaws.com-pinpoint-email-2018-07-26-swagger.yaml.json,8.5714,4.2353,1,462,0.2435,0.6866,6,1,1,42,openapi
amazonaws.com-polly-2016-06-10-swagger.yaml.json,8.6667,2.3333,1,135,0.2542,0.6764,3,1,1,9,openapi
amazonaws.com-pricing-2017-10-15-swagger.yaml.json,11,1,0.3333,62,0.3333,0.3357,1,3,1,3,openapi
amazonaws.com-qldb-2019-01-02-swagger.yaml.json,9.1333,2.4,0.7333,175,0.3667,0.6633,4,3,0.819,15,openapi
amazonaws.com-qldb-session-2019-07-11-swagger.yaml.json,9,1,1,22,0.4286,0,1,1,0,1,openapi
amazonaws.com-quicksight-2018-04-01-swagger.yaml.json,10.875,6.1111,1,254,0.1457,0.4458,8,1,1,16,openapi
amazonaws.com-ram-2018-01-04-swagger.yaml.json,8.8235,1,0.0588,231,0.1636,0.6607,1,17,1,17,openapi
amazonaws.com-rds-2013-01-10-swagger.yaml.json,11.82,1,0.02,2126,0.2327,0.6692,1,50,0.8873,100,openapi
amazonaws.com-rds-2013-02-12-swagger.yaml.json,11.8269,1,0.0192,2186,0.2378,0.6695,1,52,0.8913,104,openapi
amazonaws.com-rds-2013-09-09-swagger.yaml.json,12.125,1,0.0192,2246,0.2398,0.6803,1,52,0.8913,104,openapi
amazonaws.com-rds-2014-09-01-swagger.yaml.json,12.2222,1,0.0185,2354,0.2309,0.6844,1,54,0.8951,108,openapi
amazonaws.com-rds-2014-10-31-swagger.yaml.json,12.7342,1,0.009,5641,0.1925,0.7026,1,111,0.9223,222,openapi
amazonaws.com-rds-data-2018-08-01-swagger.yaml.json,8,1,0.1667,76,0.2683,0.6448,1,6,1,6,openapi
amazonaws.com-redshift-2012-12-01-swagger.yaml.json,11.6098,1,0.0122,3958,0.1977,0.6634,1,82,0.9072,164,openapi
amazonaws.com-rekognition-2016-06-27-swagger.yaml.json,9.5294,1,0.0294,505,0.146,0.6902,1,34,1,34,openapi
amazonaws.com-resource-groups-2017-11-27-swagger.yaml.json,9.25,2.1429,0.5833,138,0.1895,0.6142,3,3,1,12,openapi
amazonaws.com-resourcegroupstaggingapi-2017-01-26-swagger.yaml.json,9.8,1,0.2,53,0.3571,0.5626,1,5,1,5,openapi
amazonaws.com-robomaker-2018-06-29-swagger.yaml.json,8.3889,1.0571,0.0833,521,0.1921,0.6593,2,34,1,36,openapi
amazonaws.com-route53-2013-04-01-swagger.yaml.json,9.0893,2.925,1,772,0.2474,0.6716,4,1,0.9474,56,openapi
amazonaws.com-route53domains-2014-05-15-swagger.yaml.json,9.1667,1,0.0417,422,0.2581,0.4843,1,24,1,24,openapi
